question,answer,keyword
Tỷ lệ sinh viên trên thiết bị thí nghiệm trong chương trình Dạy và học bằng tiếng Anh là bao nhiêu?,Sinh viên học chương trình Dạy và học bằng tiếng Anh được đảm bảo tỷ lệ 2 sinh viên/bài thí nghiệm.,"chương trình tiếng anh, thí nghiệm, tỷ lệ sinh viên, 2 sinh viên/bài thí nghiệm"
"Các phòng thí nghiệm phục vụ đồ án, luận văn và nghiên cứu có hợp tác với đơn vị nào không?","Có. Các phòng thí nghiệm phục vụ đồ án, luận văn và nghiên cứu phối hợp với nhiều phòng thí nghiệm tiên tiến trong Trường.","phòng thí nghiệm, đồ án, luận văn, nghiên cứu, hợp tác, phòng thí nghiệm tiên tiến"
Các phòng thí nghiệm hỗ trợ nghiên cứu tập trung vào những định hướng nào?,"Các phòng thí nghiệm hỗ trợ nghiên cứu định hướng thiết kế kiến trúc, tiết kiệm năng lượng, kiến trúc bền vững.","phòng thí nghiệm, nghiên cứu, thiết kế kiến trúc, tiết kiệm năng lượng, kiến trúc bền vững"
Sinh viên tốt nghiệp ngành Kiến trúc có thể đảm nhận những vị trí việc làm nào?,"Sinh viên tốt nghiệp có thể làm cán bộ kỹ thuật/quản lý nhà nước, kiến trúc sư tư vấn/thiết kế/giám sát/quản lý dự án trong doanh nghiệp tư nhân, hoặc cán bộ giảng dạy.","vị trí việc làm, cán bộ kỹ thuật, quản lý, cơ quan nhà nước, kiến trúc sư, doanh nghiệp tư nhân, giảng dạy"
Sinh viên tốt nghiệp có thể làm việc ở các Cơ quan nhà nước chuyên ngành không?,"Có. Sinh viên tốt nghiệp có thể đảm nhận vị trí Cán bộ kỹ thuật, quản lý trong các Cơ quan nhà nước chuyên ngành.","cơ quan nhà nước, cán bộ kỹ thuật, quản lý"
Sinh viên tốt nghiệp có thể làm việc trong các doanh nghiệp khối tư nhân không?,"Có. Sinh viên có thể làm Kiến trúc sư tư vấn trong các doanh nghiệp khối tư nhân (trong và ngoài nước) chuyên ngành đầu tư xây dựng, bất động sản,...","doanh nghiệp tư nhân, kiến trúc sư tư vấn, đầu tư xây dựng, bất động sản"
Sinh viên tốt nghiệp có thể đảm nhận những vai trò gì trong các dự án xây dựng?,"Sinh viên tốt nghiệp có thể làm Kiến trúc sư thiết kế, giám sát thi công, quản lý dự án trong các dự án xây dựng.","dự án xây dựng, kiến trúc sư thiết kế, giám sát thi công, quản lý dự án"
Sinh viên tốt nghiệp ngành Kiến trúc có thể tiếp tục học lên bậc cao hơn không?,"Có. Sinh viên có thể tiếp tục nâng cao trong các bậc học sau như Cao học, Nghiên cứu sinh.","học sau đại học, cao học, nghiên cứu sinh"
Sinh viên tốt nghiệp có thể trở thành cán bộ giảng dạy không?,Có. Sinh viên tốt nghiệp có thể trở thành Cán bộ giảng dạy chuyên ngành Kiến trúc trong các trường Đại học - Cao đẳng.,"cán bộ giảng dạy, trường đại học, trường cao đẳng"
Ngành Kiến trúc có quan hệ hợp tác với các Trường Đại học khác không?,Có. Ngành hiện đang hợp tác với các Trường Đại học trong và ngoài nước.,"quan hệ hợp tác, trường đại học, quốc tế, trong nước"
Ngành Kiến trúc hợp tác với những Trường Đại học quốc tế nào?,"Ngành hợp tác với Đại học Leuven (Bỉ), Đại học Strasbourg (Pháp), Đại học Tokyo City University (Nhật Bản), Đại học Hanyang (Hàn Quốc), Đại học Rajamangala University of Technology Isarn (Thái Lan).","hợp tác quốc tế, đại học leuven, đại học strasbourg, đại học tokyo city, đại học hanyang, đại học rajamangala"
Ngành Kiến trúc hợp tác với những Trường Đại học trong nước nào?,"Ngành hợp tác với Đại học Kiến trúc TPHCM, Đại học Kinh Tế - Viện Đô thị thông minh và Quản lý, và các Đại học có đào tạo ngành Kiến trúc khác trong cả nước.","hợp tác trong nước, đại học kiến trúc tphcm, đại học kinh tế, viện đô thị thông minh"
Ngành Kiến trúc có hợp tác với các Doanh nghiệp không?,Có. Ngành hợp tác với các Doanh nghiệp trong và ngoài nước.,"hợp tác doanh nghiệp, trong nước, ngoài nước"
Ngành Kiến trúc hợp tác với những Doanh nghiệp nào được liệt kê trong tài liệu?,"Ngành hợp tác với Công ty Ardor, Công ty GKA.","hợp tác doanh nghiệp, công ty ardor, công ty gka"
Có những loại học bổng nào dành cho sinh viên ngành Kiến trúc?,"Có học bổng khuyến khích học tập từ trường, học bổng từ Tập đoàn Xây Dựng Doanh nghiệp, Ban liên lạc Cựu sinh viên, Quỹ Học bổng Huỳnh Tấn Phát, và Học bổng Vũng Tàu.","học bổng, học bổng khuyến khích học tập, học bổng doanh nghiệp, cựu sinh viên, quỹ học bổng huỳnh tấn phát, học bổng vũng tàu"
Nhà trường dành bao nhiêu phần trăm quỹ học phí để cấp học bổng khuyến khích học tập?,Nhà trường dành 8% quỹ học phí để cấp học bổng cho sinh viên.,"học bổng, quỹ học phí, 8 phần trăm"
Học bổng khuyến khích học tập từ trường dựa trên những tiêu chí nào?,"Học bổng dựa trên thành tích học tập, nghiên cứu khoa học, hoạt động phong trào xuất sắc, có quá trình rèn luyện tích cực và vượt trội sau mỗi học kỳ.","học bổng khuyến khích học tập, tiêu chí, thành tích học tập, nghiên cứu khoa học, hoạt động phong trào, rèn luyện"
Sinh viên có hoàn cảnh khó khăn có thể nhận được những loại học bổng nào?,"Sinh viên có hoàn cảnh khó khăn có thể nhận được học bổng từ các Tập đoàn Xây Dựng Doanh nghiệp, Ban liên lạc Cựu sinh viên, Quỹ Học bổng Huỳnh Tấn Phát, Học bổng Vũng Tàu.","học bổng, hoàn cảnh khó khăn, doanh nghiệp, cựu sinh viên, quỹ học bổng huỳnh tấn phát, học bổng vũng tàu"
Học bổng từ các Tập đoàn Xây Dựng Doanh nghiệp và Quỹ Học bổng Huỳnh Tấn Phát dành cho những đối tượng nào?,Dành cho SV có hoàn cảnh khó khăn hoặc có thành tích ấn tượng trong học tập và thắng giải các cuộc thi thiết kế.,"học bổng doanh nghiệp, quỹ học bổng huỳnh tấn phát, hoàn cảnh khó khăn, thành tích học tập, thắng giải thiết kế"
Học bổng Vũng Tàu dành cho đối tượng sinh viên nào?,Học bổng Vũng Tàu dành cho sinh viên có thành tích học tập tốt và hoàn cảnh khó khăn.,"học bổng vũng tàu, thành tích học tập tốt, hoàn cảnh khó khăn"
Học bổng Vũng Tàu đã được trao trong bao nhiêu năm gần đây?,Học bổng Vũng Tàu đã được trao cho sinh viên 5 năm trở lại đây.,"học bổng vũng tàu, thời gian trao, 5 năm"
Mỗi năm có khoảng bao nhiêu sinh viên nhận được Học bổng Vũng Tàu?,Mỗi năm có khoảng 6-8 sinh viên nhận được Học bổng Vũng Tàu.,"học bổng vũng tàu, số lượng sinh viên, 6-8 sinh viên"
Có học bổng dành cho bậc Sau Đại học không?,Có. Có các loại học bổng trao đổi và toàn phần cho bậc Sau Đại học.,"học bổng sau đại học, học bổng trao đổi, học bổng toàn phần"
Các loại học bổng Sau Đại học được nhắc đến trong tài liệu là gì?,"Các loại học bổng Sau Đại học bao gồm Học bổng Erasmus, Học bổng liên thông Master-PhD, và Học bổng Master.","học bổng sau đại học, erasmus, master-phd, master"
Cần liên hệ ở đâu để tìm hiểu thông tin về ngành Kiến trúc?,"Có thể liên hệ Văn phòng Khoa Kỹ thuật Xây dựng, tòa nhà B6, Trường Đại học Bách khoa – ĐHQG-HCM.","liên hệ, văn phòng khoa, khoa kỹ thuật xây dựng, tòa nhà b6"
Địa chỉ cụ thể của Văn phòng Khoa Kỹ thuật Xây dựng là gì?,"Địa chỉ là 268 Lý Thường Kiệt, Phường 14, Quận 10, TP. HCM.","địa chỉ liên hệ, 268 lý thường kiệt, phường 14, quận 10, tp. hcm"
Có số điện thoại nào để liên hệ trực tiếp về ngành Kiến trúc không?,Có. Số điện thoại liên hệ là 0909541280 (gặp ThS. KTS Phạm Đức Thắng).,"số điện thoại liên hệ, phạm đức thắng, 0909541280"
Có kênh thông tin trực tuyến nào như mạng xã hội để tìm hiểu thêm về ngành Kiến trúc?,Có nhóm Facebook: fwww.facebook.com/groups/112647045555501/.,"kênh thông tin, facebook group, mạng xã hội"
Trang web chính thức về tuyển sinh đại học của trường là gì?,Trang web tuyển sinh đại học chính thức là hcmut.edu.vn/tuyen-sinh-dh/dai-hoc-chinh-quy.,"website tuyển sinh, hcmut.edu.vn/tuyen-sinh-dh/dai-hoc-chinh-quy"
Địa chỉ email có thể liên hệ để hỏi thông tin về ngành Kiến trúc là gì?,Địa chỉ email liên hệ là thang.bmkt@hcmut.edu.vn.,"địa chỉ email, liên hệ, thang.bmkt@hcmut.edu.vn"
